date,p (mbar),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3)
2020-01-01 00:10:00,1008.89,273.18,-1.33,86.1,6.43,5.54,0.89,3.42,5.49,1280.62
2020-01-01 00:20:00,1008.76,273.22,-1.44,85.2,6.45,5.49,0.95,3.39,5.45,1280.33
2020-01-01 00:30:00,1008.66,273.21,-1.48,85.1,6.44,5.48,0.96,3.39,5.43,1280.29
2020-01-01 00:40:00,1008.64,272.86,-1.64,86.3,6.27,5.41,0.86,3.35,5.37,1281.97
2020-01-01 00:50:00,1008.61,272.82,-1.5,87.4,6.26,5.47,0.79,3.38,5.42,1282.08
2020-01-01 01:00:00,1008.44,272.84,-1.54,87.1,6.26,5.45,0.81,3.37,5.41,1281.84
2020-01-01 01:10:00,1008.49,272.69,-1.65,87.4,6.19,5.41,0.78,3.34,5.37,1282.63
2020-01-01 01:20:00,1008.4,272.53,-1.7,88.1,6.12,5.39,0.73,3.33,5.35,1283.3
2020-01-01 01:30:00,1008.29,272.63,-1.61,88.1,6.16,5.43,0.73,3.35,5.38,1282.73
2020-01-01 01:40:00,1008.28,272.73,-1.62,87.4,6.2,5.42,0.78,3.35,5.38,1282.24
2020-01-01 01:50:00,1008.24,272.48,-1.85,87.5,6.09,5.33,0.76,3.29,5.29,1283.42
2020-01-01 02:00:00,1008.32,272.3,-1.78,89.1,6.01,5.36,0.66,3.31,5.31,1284.32
2020-01-01 02:10:00,1008.24,272.42,-1.74,88.6,6.06,5.37,0.69,3.32,5.33,1283.67
2020-01-01 02:20:00,1008.35,272.35,-1.88,88.1,6.04,5.32,0.72,3.29,5.27,1284.15
2020-01-01 02:30:00,1008.3,272.3,-1.82,88.9,6.01,5.34,0.67,3.3,5.3,1284.34
2020-01-01 02:40:00,1008.4,272.45,-1.77,88.2,6.08,5.36,0.72,3.32,5.32,1283.71
2020-01-01 02:50:00,1008.39,272.34,-1.81,88.6,6.03,5.35,0.69,3.3,5.3,1284.22
2020-01-01 03:00:00,1008.46,272.45,-1.71,88.5,6.09,5.39,0.7,3.33,5.34,1283.73
2020-01-01 03:10:00,1008.15,272.31,-1.84,88.7,6.01,5.33,0.68,3.3,5.29,1284.13
2020-01-01 03:20:00,1008.07,271.77,-2.31,89.2,5.78,5.15,0.62,3.18,5.11,1286.71
2020-01-01 03:30:00,1008.12,271.61,-2.26,90.6,5.71,5.17,0.54,3.2,5.13,1287.52
2020-01-01 03:40:00,1008.04,271.68,-2.17,90.8,5.73,5.21,0.53,3.22,5.17,1287.1
2020-01-01 03:50:00,1008.16,271.66,-2.16,90.9,5.73,5.21,0.52,3.22,5.17,1287.28
2020-01-01 04:00:00,1008.0,271.52,-2.31,90.9,5.67,5.15,0.52,3.19,5.11,1287.83
2020-01-01 04:10:00,1007.76,271.41,-2.37,91.4,5.61,5.13,0.48,3.17,5.09,1288.16
2020-01-01 04:20:00,1007.84,271.47,-2.25,91.7,5.64,5.17,0.47,3.2,5.13,1287.9
2020-01-01 04:30:00,1007.85,270.96,-2.93,90.5,5.43,4.92,0.52,3.04,4.88,1290.46
2020-01-01 04:40:00,1008.02,270.72,-2.92,92.1,5.34,4.92,0.42,3.04,4.88,1291.74
2020-01-01 04:50:00,1007.92,270.71,-2.9,92.4,5.33,4.93,0.41,3.05,4.89,1291.74
2020-01-01 05:00:00,1007.63,270.73,-2.78,93.2,5.34,4.97,0.36,3.08,4.94,1291.32
2020-01-01 05:10:00,1007.63,270.44,-3.21,92.3,5.22,4.82,0.4,2.98,4.78,1292.81
2020-01-01 05:20:00,1007.9,270.21,-3.26,93.4,5.14,4.8,0.34,2.97,4.76,1294.16
2020-01-01 05:30:00,1007.99,270.35,-3.05,93.8,5.2,4.87,0.32,3.01,4.84,1293.54
2020-01-01 05:40:00,1007.85,270.25,-3.18,93.7,5.15,4.83,0.32,2.99,4.79,1293.9
2020-01-01 05:50:00,1007.81,270.16,-3.21,94.1,5.12,4.82,0.3,2.98,4.78,1294.29
2020-01-01 06:00:00,1007.81,270.05,-3.34,94.0,5.08,4.77,0.3,2.95,4.74,1294.85
2020-01-01 06:10:00,1007.91,269.72,-3.64,94.1,4.96,4.66,0.29,2.88,4.63,1296.56
2020-01-01 06:20:00,1008.06,269.75,-3.53,94.6,4.97,4.7,0.27,2.91,4.66,1296.56
2020-01-01 06:30:00,1008.22,269.79,-3.45,94.8,4.99,4.73,0.26,2.92,4.69,1296.51
2020-01-01 06:40:00,1008.19,269.9,-3.31,95.0,5.03,4.78,0.25,2.95,4.74,1295.89
2020-01-01 06:50:00,1008.21,270.02,-3.19,95.0,5.08,4.82,0.25,2.98,4.79,1295.31
2020-01-01 07:00:00,1008.17,270.27,-2.94,95.0,5.17,4.91,0.26,3.04,4.87,1294.04
2020-01-01 07:10:00,1008.16,270.23,-3.09,94.3,5.15,4.86,0.29,3.0,4.82,1294.28
2020-01-01 07:20:00,1008.17,270.0,-3.39,93.8,5.07,4.75,0.31,2.94,4.72,1295.42
2020-01-01 07:30:00,1008.13,269.86,-3.49,94.1,5.01,4.72,0.3,2.92,4.68,1296.1
2020-01-01 07:40:00,1008.25,269.79,-3.53,94.2,4.99,4.7,0.29,2.91,4.66,1296.52
2020-01-01 07:50:00,1008.17,269.74,-3.57,94.3,4.97,4.69,0.28,2.9,4.65,1296.7
2020-01-01 08:00:00,1008.16,269.69,-3.6,94.5,4.95,4.68,0.27,2.89,4.64,1296.95
2020-01-01 08:10:00,1008.12,269.64,-3.65,94.5,4.93,4.66,0.27,2.88,4.62,1297.14
2020-01-01 08:20:00,1008.12,269.51,-3.79,94.4,4.89,4.61,0.27,2.85,4.57,1297.79
2020-01-01 08:30:00,1008.12,269.7,-3.56,94.7,4.95,4.69,0.26,2.9,4.65,1296.86
2020-01-01 08:40:00,1008.04,269.63,-3.75,93.9,4.93,4.63,0.3,2.86,4.59,1297.15
2020-01-01 08:50:00,1007.96,269.44,-3.99,93.6,4.85,4.54,0.31,2.81,4.51,1298.02
2020-01-01 09:00:00,1008.07,269.46,-3.9,94.0,4.86,4.57,0.29,2.83,4.54,1298.02
2020-01-01 09:10:00,1008.17,269.5,-3.89,93.8,4.88,4.58,0.3,2.83,4.54,1297.93
2020-01-01 09:20:00,1008.28,269.58,-3.86,93.4,4.91,4.59,0.32,2.84,4.55,1297.64
2020-01-01 09:30:00,1008.2,269.52,-3.99,92.9,4.89,4.54,0.35,2.81,4.51,1297.85
2020-01-01 09:40:00,1008.31,269.69,-3.89,92.4,4.95,4.58,0.38,2.83,4.54,1297.15
2020-01-01 09:50:00,1008.41,269.84,-3.71,92.5,5.02,4.64,0.38,2.87,4.6,1296.47
2020-01-01 10:00:00,1008.45,270.58,-3.18,91.1,5.3,4.83,0.47,2.98,4.79,1292.89
2020-01-01 10:10:00,1008.5,270.98,-3.33,87.4,5.46,4.77,0.69,2.95,4.73,1291.05
2020-01-01 10:20:00,1008.46,271.25,-3.27,86.1,5.57,4.8,0.77,2.96,4.76,1289.7
2020-01-01 10:30:00,1008.49,271.26,-3.25,86.1,5.58,4.8,0.78,2.97,4.76,1289.67
2020-01-01 10:40:00,1008.37,271.19,-3.29,86.4,5.54,4.79,0.75,2.96,4.75,1289.9
2020-01-01 10:50:00,1008.36,271.49,-3.07,85.9,5.67,4.87,0.8,3.01,4.83,1288.45
2020-01-01 11:00:00,1008.34,271.37,-3.08,86.6,5.62,4.86,0.75,3.01,4.82,1288.99
2020-01-01 11:10:00,1008.21,271.7,-2.89,85.8,5.75,4.93,0.82,3.05,4.89,1287.29
2020-01-01 11:20:00,1008.02,271.89,-2.77,85.5,5.82,4.98,0.84,3.08,4.94,1286.18
2020-01-01 11:30:00,1008.03,272.11,-2.63,85.0,5.92,5.03,0.89,3.11,4.99,1285.12
2020-01-01 11:40:00,1007.84,272.16,-2.63,84.8,5.93,5.03,0.9,3.11,4.99,1284.73
2020-01-01 11:50:00,1007.69,272.5,-2.41,84.1,6.08,5.11,0.97,3.16,5.07,1282.94
2020-01-01 12:00:00,1007.62,273.24,-2.03,82.0,6.42,5.26,1.15,3.25,5.22,1279.31
2020-01-01 12:10:00,1007.59,273.5,-2.03,80.5,6.53,5.26,1.27,3.25,5.22,1278.1
2020-01-01 12:20:00,1007.56,273.8,-1.8,80.1,6.68,5.35,1.33,3.31,5.31,1276.59
2020-01-01 12:30:00,1007.44,274.27,-1.66,78.3,6.91,5.41,1.5,3.35,5.37,1274.26
2020-01-01 12:40:00,1007.29,274.57,-1.52,77.5,7.05,5.46,1.59,3.38,5.42,1272.73
2020-01-01 12:50:00,1007.12,275.22,-1.29,75.3,7.38,5.56,1.82,3.44,5.52,1269.52
2020-01-01 13:00:00,1007.04,275.44,-1.29,74.2,7.49,5.56,1.93,3.44,5.52,1268.45
2020-01-01 13:10:00,1006.98,275.48,-1.26,74.1,7.51,5.57,1.95,3.45,5.53,1268.18
2020-01-01 13:20:00,1006.83,275.71,-1.13,73.7,7.63,5.62,2.01,3.48,5.58,1266.98
2020-01-01 13:30:00,1006.79,276.48,-0.91,70.9,8.06,5.71,2.34,3.54,5.67,1263.35
