date,wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m�),PAR (�mol/m�/s),max. PAR (�mol/m�/s),Tlog (degC),OT
2020-01-01 00:10:00,1.02,1.6,224.3,0.0,0.0,0.0,0.0,0.0,11.45,428.1
2020-01-01 02:10:00,0.48,0.98,105.5,0.0,0.0,0.0,0.0,0.0,12.09,433.4
2020-01-01 04:10:00,1.16,2.36,237.3,0.0,0.0,0.0,0.0,0.0,11.08,430.7
2020-01-01 06:10:00,1.36,2.12,199.1,0.0,0.0,0.0,0.0,0.0,9.56,434.1
2020-01-01 08:10:00,1.0,2.0,168.3,0.0,0.0,1.21,4.05,6.37,8.91,436.3
2020-01-01 10:10:00,0.45,1.14,172.2,0.0,0.0,224.14,300.58,314.67,9.6,442.0
2020-01-01 12:10:00,0.83,1.54,149.4,0.0,0.0,283.5,469.69,471.04,13.02,441.5
2020-01-01 14:10:00,0.92,1.88,220.0,0.0,0.0,176.66,348.07,359.27,16.79,430.7
2020-01-01 16:10:00,1.08,1.6,217.7,0.0,0.0,4.63,24.13,29.92,18.24,425.4
2020-01-01 18:10:00,1.21,1.68,229.9,0.0,0.0,0.0,0.0,0.0,13.6,430.1
2020-01-01 20:10:00,0.78,1.2,181.2,0.0,0.0,0.0,0.0,0.0,10.58,437.9
2020-01-01 22:10:00,1.03,2.12,108.0,0.0,0.0,0.0,0.0,0.0,8.98,440.6
2020-01-02 00:10:00,0.35,0.64,165.0,0.0,0.0,0.0,0.0,0.0,7.8,439.1
2020-01-02 02:10:00,0.29,0.8,120.0,0.0,0.0,0.0,0.0,0.0,7.17,440.7
2020-01-02 04:10:00,0.61,1.04,52.94,0.0,0.0,0.0,0.0,0.0,9.14,441.5
2020-01-02 06:10:00,0.7,1.2,116.9,0.0,0.0,0.0,0.0,0.0,9.0,452.1
2020-01-02 08:10:00,1.09,2.02,109.0,0.0,0.0,0.0,3.67,5.79,9.1,451.7
2020-01-02 10:10:00,1.13,1.72,186.9,0.0,0.0,284.1,302.9,317.18,9.14,463.1
2020-01-02 12:10:00,1.71,2.48,221.5,0.0,0.0,338.03,485.52,487.64,12.45,445.7
2020-01-02 14:10:00,1.47,3.36,179.3,0.0,0.0,172.84,340.15,350.0,17.49,438.9
2020-01-02 16:10:00,1.04,2.08,150.8,0.0,0.0,6.04,24.52,31.08,18.73,438.2
2020-01-02 18:10:00,2.3,2.88,228.5,0.0,0.0,0.0,0.0,0.0,13.49,444.7
2020-01-02 20:10:00,1.91,2.93,175.1,0.0,0.0,0.0,0.0,0.0,11.3,444.3
2020-01-02 22:10:00,2.67,4.45,135.2,0.0,0.0,0.0,0.0,0.0,11.67,438.9
2020-01-03 00:10:00,1.19,2.4,80.2,0.0,0.0,0.0,0.0,0.0,11.56,436.4
2020-01-03 02:10:00,3.61,4.67,185.6,0.0,0.0,0.0,0.0,0.0,11.92,431.2
2020-01-03 04:10:00,2.67,5.93,180.2,0.0,0.0,0.0,0.0,0.0,12.13,429.4
2020-01-03 06:10:00,3.68,5.85,180.0,0.0,0.0,0.0,0.0,0.0,12.69,433.9
2020-01-03 08:10:00,4.82,7.67,208.5,0.0,0.0,0.4,1.16,1.54,13.0,432.3
2020-01-03 10:10:00,2.57,4.09,177.0,0.0,0.0,40.85,88.03,125.29,14.0,435.3
2020-01-03 12:10:00,1.03,2.16,105.2,0.0,0.0,36.22,81.47,89.58,15.26,432.3
2020-01-03 14:10:00,7.87,11.78,208.4,0.0,0.0,53.12,114.48,127.8,15.77,424.0
2020-01-03 16:10:00,4.87,7.93,210.4,0.0,0.0,12.27,22.97,27.41,15.38,426.0
